Food,,Pantry,Refrigerator,Freezer,,group
Fruit juice concentrate,,,6 days,1 year,,0
Fruit pies - baked,,,2-3 days,8 months,,0
Fruit - pre-cut - fresh,,Until ripe,2-4 days,1 year,,0
Grapes,,Until ripe,5 days,,,0
Melons,,Until ripe,5 days,,,0
Nectarines,,Until ripe,5 days,,,0
Peaches,,Until ripe,5 days,1 year,,0
Pears,,Until ripe,5 days,1 year,,0
Pineapple,,Until ripe,5-7 days,1 year,,0
Plums,,Until ripe,5 days,,,0
Butter,,,1-2 months,9 months,,0
Buttermilk,,,2 weeks,,,0
Cottage cheese,,,1 week,3 months,,0
Cream cheese,,,2 weeks,,,0
Cream-light,,,3-4 days,1-4 months,,0
Cream-heavy,,,3-4 days,1-4 months,,0
Cream-half- and-half,,,3-4 days,1-4 months,,0
Eggnog commercial,,,3-5 days,6 months,,0
Margarine,,,4-5 months,12 months,,0
Condensed milk,,12-23 months,8-20 days,,,0
evaporated milk,,12-23 months,8-20 days,,,0
dry milk,,12-23 months,8-20 days,,,0
Ice cream and sherbet,,,,2 months,,0
Hard natural cheese (e.g. cheddar or swiss),Unopened,,3-6 months,6 months,,0
Hard natural cheese (e.g. cheddar or swiss),Opened,,3-4 weeks,,,0
Processed cheese,,,3-4 weeks,6-8 months,,0
Soft cheese (e.g. brie),,,1 week,6 months,,0
Pudding,Opened,,1-2 days,,,0
Snack dips,Opened,,1 week,,,0
Sour cream,,,2 weeks,,,0
Non-dairy whipped cream - canned,,,3 months,,,0
Real whipped cream - canned,,,3-4 weeks,,,0
Yogurt,,,2 weeks,1-2 months,,0
Fresh beef and bison steaks,,,3-5 days,6-9 months,,0
Fresh beef and bison roasts,,,3-5 days,9-12 months,,0
Fresh pork chops,,,3-5 days,4-6 months,,0
Fresh lamb chops,,,3-5 days,6-8 months,,0
Fresh veal,,,1-2 days,4-6 months,,0
Fresh ground meat (e.g. beef/bison/veal/lamb),,,1-2 days,3-4 months,,0
Cooked meat,,,2-3 days,2-3 months,,0
Canned meat,,1 year,3-4 days,3-4 months,,0
Ham - whole,,,1 week,1-2 months,,0
Ham - canned,,2 years,1 week,3-4 months,,0
Ham - canned “keep refrigerated”,Unopened,,6-9 months,,,0
Ham - canned “keep refrigerated”,Opened,,3-5 days,3-4 months,,0
Shelf-stable unopened canned meat (e.g. chili/deviled ham/corn beef),,1 year,1week,,,0
Ham - cook before eating,,,1 week,,,0
Ham - fully cooked,Unopened,,2 weeks,,,0
Ham - fully cooked,Opened,,1 week,,,0
Ham - dry-cured,,1 year,1 month,,,0
Ham salad - store prepared or homemade,,,3-5 days,,,0
Bacon,Unopened,,2 weeks,1 month,,0
Bacon,Opened,,1 week,,,0
Corned beef - uncooked,,,5-7 days,1-2 months,,0
Restructured (flaked) meat products,,,,9-12 months,,0
Sausage - fresh,,,1-2 days,1-2 months,,0
Smoked breakfast sausage links - patties,,,1 week,2 months,,0
Sausage - smoked (e.g. Mettwurst),,,1 week,1-2 months,,0
Sausage - semi-dry (e.g. Summer sausage),,,2-3 weeks,6 months,,0
Sausage - dry smoked (e.g. Pepperoni/jerky/dry Salami),,1 year,1 month,6 months,,0
Frankfurters - bologna,Unopened,,2 weeks,1-2 months,,0
Frankfurters - bologna,Opened,,3-7 days,,,0
Luncheon meat,Unopened,,2 weeks,1-2 months,,0
Luncheon meat,Opened,,3-7 days,,,0
Meat gravies,,,1-2 days,2-3 months,,0
TV beef and pork dinners,,,,18 months,,0
Meat based casseroles,,,3-4 days,4 months,,0
Variety meats (giblets/tongue/liver/heart/etc.),,,1-2 days,3-4 months,,0
Vinegar pickled meats (e.g. pickled pigs feet),,1 year,2 weeks,,,0
Breaded fish,,,,4-6 months,,0
Canned fish,,1 year,1-2 days,,,0
Cooked Seafood,,,3-4 days,3 months,,0
Cooked fish,,,3-4 days,3 months,,0
Lean fish (e.g. cod/flounder/haddock),,,1-2 days,6-10 months,,0
Fatty fish (e.g. bluefish/salmon/mackeral),,,1-2 days,2-3 months,,0
Dry pickled fish,,,3-4 weeks,,,0
Smoked fish,,,2 weeks,4-5 weeks,,0
clams,,,2 days,3 months,,0
crab,,,2 days,3 months,,0
lobster in shell,,,2 days,3 months,,0
oysters,,,4-5 days,3-4 months,,0
scallops,,,4-5 days,3-4 months,,0
shrimp,,,4-5 days,3 months,,0
shucked clams,,,4-5 days,3 months,,0
Tuna salad,,,3-5 days,,,0
Chicken nuggets or patties,,,1-2 days,,,0
Chicken livers,,,1-2 days,3 months,,0
Chicken and Chicken TV dinners,,,,6 months,,0
Canned Chicken,,2-5 years,3-4 days,4-6 weeks,,0
Cooked Chicken,,,2-3 days,4-6 months,,0
Fresh Chicken,,,1-2 days,1 year,,0
Canned Chicken,,,1 day,3 months,,0
Chicken pies,,,1-2 days,6 months,,0
Chicken stews,,,1-2 days,6 months,,0
Chicken gravies,,,1-2 days,6 months,,0
Chicken salads,,,3-5 days,,,0
Chicken stuffing - cooked,,,3-4 days,1 month,,0
Eggs - in shell,,,3-5 weeks,,,0
Eggs - hard-boiled,,,1 week,,,0
Eggs - pasteurized - liquid,Unopened,,10 days,1 year,,0
Eggs - pasteurized - liquid,Opened,,3 days,,,0
Egg substitute,Unopened,,10 days,1 year,,0
Egg substitute,Opened,,3 days,,,0
Egg yolks (covered in water),,,2-4 days,1 year,,0
Egg whites,,,2-4 days,1 year,,0
Wild Game,,,,,,0
Frog legs,,,1 day,6-9 months,,0
Game birds,,,2 days,9 months,,0
Small game (rabbit/squirrel/etc.),,,2 days,9-12 months,,0
Venison ground meat,,,1-2 days,2-3 months,,0
Venison steaks and roasts,,,3-5 days,9-12 months,,0
