Food,,Pantry,Refrigerator,Freezer,,group
Canned fruit,,1 year,2-4 days,,,p
Canned fruit juices,,1 year,3-5 days,,,p
Cherries,,Until ripe,3 days,,,p
Citrus fruit (e.g. orange/lime/lemon),,Until ripe,2 weeks,,,p
Dried fruit,,6 months,2-4 days,,,p
Frozen fruit,,,,1 year,,i
Fruit juice concentrate,,,6 days,1 year,,p
Fruit pies - baked,,,2-3 days,8 months,,f
Fruit - pre-cut - fresh,,Until ripe,2-4 days,1 year,,f
Grapes,,Until ripe,5 days,,,f
Melons,,Until ripe,5 days,,,p
Nectarines,,Until ripe,5 days,,,p
Peaches,,Until ripe,5 days,1 year,,p
Pears,,Until ripe,5 days,1 year,,p
Pineapple,,Until ripe,5-7 days,1 year,,p
Plums,,Until ripe,5 days,,,p
Butter,,,1-2 months,9 months,,f
Buttermilk,,,2 weeks,,,f
Cottage cheese,,,1 week,3 months,,f
Cream cheese,,,2 weeks,,,f
Cream-light,,,3-4 days,1-4 months,,f
Cream-heavy,,,3-4 days,1-4 months,,f
Cream-half- and-half,,,3-4 days,1-4 months,,f
Eggnog commercial,,,3-5 days,6 months,,f
Margarine,,,4-5 months,12 months,,f
Condensed milk,,12-23 months,8-20 days,,,f
evaporated milk,,12-23 months,8-20 days,,,f
dry milk,,12-23 months,8-20 days,,,f
Ice cream and sherbet,,,,2 months,,i
Hard natural cheese (e.g. cheddar or swiss),Unopened,,3-6 months,6 months,,f
Hard natural cheese (e.g. cheddar or swiss),Opened,,3-4 weeks,,,f
Processed cheese,,,3-4 weeks,6-8 months,,f
Soft cheese (e.g. brie),,,1 week,6 months,,f
Pudding,Opened,,1-2 days,,,f
Snack dips,Opened,,1 week,,,p
Sour cream,,,2 weeks,,,f
Non-dairy whipped cream - canned,,,3 months,,,f
Real whipped cream - canned,,,3-4 weeks,,,f
Yogurt,,,2 weeks,1-2 months,,f
Fresh beef and bison steaks,,,3-5 days,6-9 months,,i
Fresh beef and bison roasts,,,3-5 days,9-12 months,,i
Fresh pork chops,,,3-5 days,4-6 months,,i
Fresh lamb chops,,,3-5 days,6-8 months,,i
Fresh veal,,,1-2 days,4-6 months,,i
Fresh ground meat (e.g. beef/bison/veal/lamb),,,1-2 days,3-4 months,,i
Cooked meat,,,2-3 days,2-3 months,,i
Canned meat,,1 year,3-4 days,3-4 months,,i
Ham - whole,,,1 week,1-2 months,,f
Ham - canned,,2 years,1 week,3-4 months,,f
Ham - canned “keep refrigerated”,Unopened,,6-9 months,,,f
Ham - canned “keep refrigerated”,Opened,,3-5 days,3-4 months,,f
Shelf-stable unopened canned meat (e.g. chili/deviled ham/corn beef),,1 year,1week,,,f
Ham - cook before eating,,,1 week,,,f
Ham - fully cooked,Unopened,,2 weeks,,,f
Ham - fully cooked,Opened,,1 week,,,f
Ham - dry-cured,,1 year,1 month,,,f
Ham salad - store prepared or homemade,,,3-5 days,,,f
Bacon,Unopened,,2 weeks,1 month,,f
Bacon,Opened,,1 week,,,f
Corned beef - uncooked,,,5-7 days,1-2 months,,f
Restructured (flaked) meat products,,,,9-12 months,,f
Sausage - fresh,,,1-2 days,1-2 months,,i
Smoked breakfast sausage links - patties,,,1 week,2 months,,i
Sausage - smoked (e.g. Mettwurst),,,1 week,1-2 months,,i
Sausage - semi-dry (e.g. Summer sausage),,,2-3 weeks,6 months,,i
Sausage - dry smoked (e.g. Pepperoni/jerky/dry Salami),,1 year,1 month,6 months,,i
Frankfurters - bologna,Unopened,,2 weeks,1-2 months,,i
Frankfurters - bologna,Opened,,3-7 days,,,i
Luncheon meat,Unopened,,2 weeks,1-2 months,,f
Luncheon meat,Opened,,3-7 days,,,f
Meat gravies,,,1-2 days,2-3 months,,f
TV beef and pork dinners,,,,18 months,,f
Meat based casseroles,,,3-4 days,4 months,,f
Variety meats (giblets/tongue/liver/heart/etc.),,,1-2 days,3-4 months,,f
Vinegar pickled meats (e.g. pickled pigs feet),,1 year,2 weeks,,,f
Breaded fish,,,,4-6 months,,f
Canned fish,,1 year,1-2 days,,,f
Cooked Seafood,,,3-4 days,3 months,,f
Cooked fish,,,3-4 days,3 months,,f
Lean fish (e.g. cod/flounder/haddock),,,1-2 days,6-10 months,,f
Fatty fish (e.g. bluefish/salmon/mackeral),,,1-2 days,2-3 months,,f
Dry pickled fish,,,3-4 weeks,,,f
Smoked fish,,,2 weeks,4-5 weeks,,f
clams,,,2 days,3 months,,f
crab,,,2 days,3 months,,f
lobster in shell,,,2 days,3 months,,f
oysters,,,4-5 days,3-4 months,,f
scallops,,,4-5 days,3-4 months,,f
shrimp,,,4-5 days,3 months,,f
shucked clams,,,4-5 days,3 months,,f
Tuna salad,,,3-5 days,,,f
Chicken nuggets or patties,,,1-2 days,,,i
Chicken livers,,,1-2 days,3 months,,f
Chicken and Chicken TV dinners,,,,6 months,,i
Canned Chicken,,2-5 years,3-4 days,4-6 weeks,,f
Cooked Chicken,,,2-3 days,4-6 months,,f
Fresh Chicken,,,1-2 days,1 year,,f
Canned Chicken,,,1 day,3 months,,f
Chicken pies,,,1-2 days,6 months,,f
Chicken stews,,,1-2 days,6 months,,f
Chicken gravies,,,1-2 days,6 months,,f
Chicken salads,,,3-5 days,,,f
Chicken stuffing - cooked,,,3-4 days,1 month,,f
Eggs - in shell,,,3-5 weeks,,,p
Eggs - hard-boiled,,,1 week,,,f
Eggs - pasteurized - liquid,Unopened,,10 days,1 year,,f
Eggs - pasteurized - liquid,Opened,,3 days,,,f
Egg substitute,Unopened,,10 days,1 year,,p
Egg substitute,Opened,,3 days,,,p
Egg yolks (covered in water),,,2-4 days,1 year,,f
Egg whites,,,2-4 days,1 year,,f
Wild Game,,,,,,f
Frog legs,,,1 day,6-9 months,,f
Game birds,,,2 days,9 months,,i
Small game (rabbit/squirrel/etc.),,,2 days,9-12 months,,i
Venison ground meat,,,1-2 days,2-3 months,,i
Venison steaks and roasts,,,3-5 days,9-12 months,,i
